baseline,rssi_sigma,path_loss_exponent,mac,n,rmse,rmse_ci95_low,rmse_ci95_high,mean_error,mean_error_ci95_low,mean_error_ci95_high,max_observed_error,mean_max_error_global,mean_max_error_global_ci95_low,mean_max_error_global_ci95_high
40,6,3.8,00:02,30,5.089966461541304,4.953502231938079,5.22286633922553,5.077389287564537,4.941592387104081,5.213186188024992,5.627163428471839,31967085247.67286,-33403231992.67524,97337402488.02097
40,6,3.8,00:03,30,175084795368.35208,0.0,305521713610.0642,31967085245.296963,-33403231995.218685,97337402485.8126,958978918469.888,31967085247.67286,-33403231992.67524,97337402488.02097
40,6,3.8,00:04,30,17.759747438080908,0.0,26.34155369423054,11.736331027051081,6.67461359426184,16.798048459840324,74.77192200886765,31967085247.67286,-33403231992.67524,97337402488.02097
40,12,4.4,00:02,30,6.281848314794813,6.164876422573943,6.396681576768753,6.274352121589508,6.157847321499658,6.390856921679357,6.917960354923277,16.94113520949316,14.19200471073662,19.690265708249704
40,12,4.4,00:03,30,16.5912469577332,12.80427693799853,19.661877919466935,13.435493971196873,9.738915645351938,17.13207229704181,30.254054389837464,16.94113520949316,14.19200471073662,19.690265708249704
40,12,4.4,00:04,30,11.821510814938527,9.412956096385122,13.816384962172389,11.040266900043092,9.435386636925527,12.645147163160656,28.914114984837905,16.94113520949316,14.19200471073662,19.690265708249704
50,3,3.2,00:02,30,9.072852463335204e+116,0.0,inf,1.6564686517113552e+116,-1.731009741003769e+116,5.04394704442648e+116,4.969405955085004e+117,2.3723317128428104e+129,-2.4790866371135042e+129,7.223750062799125e+129
50,3,3.2,00:03,30,1.2993795922820627e+130,0.0,inf,2.3723317128428104e+129,-2.4790866371135042e+129,7.223750062799125e+129,7.116995134547514e+130,2.3723317128428104e+129,-2.4790866371135042e+129,7.223750062799125e+129
50,3,3.2,00:04,30,1.4692078214932265e+117,0.0,inf,2.6823942187801678e+116,-2.8031019576437662e+116,8.167890395204102e+116,8.047182654948636e+117,2.3723317128428104e+129,-2.4790866371135042e+129,7.223750062799125e+129
50,6,3.8,00:02,30,3.544015024003254,3.443220104385246,3.6420214570316336,3.5331238850888536,3.427694949455311,3.638552820722396,3.8531231284945897,69053084841.56905,-72159948997.13307,210266118680.27118
50,6,3.8,00:03,30,378217963942.26917,0.0,659987637774.2715,69053084838.02766,-72159949000.92421,210266118676.97955,2071585105040.9224,69053084841.56905,-72159948997.13307,210266118680.27118
50,6,3.8,00:04,30,18.310145930683806,0.0,27.453718007268815,11.867864514152924,6.572943796381611,17.162785231924236,78.65619997907773,69053084841.56905,-72159948997.13307,210266118680.27118
50,12,4.4,00:02,30,5.327522645978663,5.212395012536246,5.44021445534257,5.318677793712413,5.202148014300902,5.435207573123924,5.871431421437499,14.454180897232517,11.905905802209391,17.00245599225564
50,12,4.4,00:03,30,12.710358553990226,8.080365246062499,16.056591376509846,8.962332954356606,5.539765531475993,12.38490037723722,27.675820153376474,14.454180897232517,11.905905802209391,17.00245599225564
50,12,4.4,00:04,30,11.823440237226414,9.411476154582697,13.820694435456218,11.040571370686767,9.433944447324663,12.64719829404887,28.933790288090506,14.454180897232517,11.905905802209391,17.00245599225564
60,3,3.2,00:02,30,0.9471022727257349,0.8823778363546917,1.007677916754415,0.9310033260642445,0.8649715394906938,0.9970351126377952,1.2317735263626914,42.27228414715616,27.294158474751228,57.250409819561085
60,3,3.2,00:03,30,12.27514839946923,12.198871278441485,12.35095445664016,12.273528897120405,12.197810893825938,12.349246900414872,12.850785967327528,42.27228414715616,27.294158474751228,57.250409819561085
60,3,3.2,00:04,30,57.65058763001665,28.148343171754814,76.51699997293139,41.16454679179464,25.837297117278943,56.49179646631034,168.77297785098185,42.27228414715616,27.294158474751228,57.250409819561085
